num,                                                                                                                                             text,      screenName,retweetCount,retweeted,longitude,latitude
22,                   #good_morning #chocolate #morning #coffee #floral #eid #nutella #waffles #crepe #jeddah #ksa #dubai #q8 http://t.co/Em61Iopri5,    LadyMonyAna1,0,FALSE,       NA,      NA
23,                                                  @kungfupussy You might need to do a bulk shipment to Melbourne! @JustBeer_NoBull @brandnewblues, Gridlock_Coffee,0,FALSE,       NA,      NA
24,         Gold Coast JCC Friday News features profile on new coffee shop in Southport that's embracing the area's heritage: http://t.co/Na32boM2bO,          _GCJCC,0,FALSE,       NA,      NA
25,                                                                                      Sometimes I start dancing on my coffee table because I can.,     Rileydreams,0,FALSE,       NA,      NA
26," RT @Leslieks: .@Starbucks I have a morning free tomorrow &amp; was going to have coffee w/friends, but not until you get some #Gunsense! #momsd?",   TweetJohnLane,9,FALSE,       NA,      NA
27,                                                                                     Starbucks Coffee is the best!!! #confessyourunpopularopinion, RedBone_Barbie5,0,FALSE,       NA,      NA
28,      RT @TheMindBlowing: Fat Burning Foods: Grapefruit. Watermelon. Berries. Hot Peppers. Celery. Greek Yogurt. Eggs. Fish. Green Tea. Coffee. ?,       RLauren88,926,FALSE,       NA,      NA
29,  Witnessed a girl with a pet bird pooping on her shoulder &amp, a girl sharing ice cream with her dog at the same coffee shop. Both didn't care.,   MattyTheBolts,0,FALSE,       NA
30,                                                                           My biological watch thinks its 5:43 PM. I want Arabic coffee and cake.,   AmaniiAbdulla,0,FALSE,       NA,      NA
31,"                                                       I wanna lay on the couch, under some blankets, with some hot coffee, and watch old movies.",  AliPlayzGuitar,0,FALSE,       NA,      NA
32,                                                                                             RT @dreyess1: Do they have rehab for coffee addicts?,     ashplante14,1,FALSE,       NA,      NA
33,"               Finally! Home. There is no food or beer in the fridge. Also there is no coffee, tomorrow will be rough. Ordered pizza. Rat time!!!",         kscottz,0,FALSE,       NA,      NA
34,                                                    just drank an entire venti coffee from Starbucks &amp, still think I'm gonna fall asleep #wtf,  destinyspooner,0,FALSE,       NA
35,"     RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?",        MamaArch,1600,FALSE,       NA,      NA
36,                       My family called me weird cause I drink coffee with a straw. I just think they are mad cause they didn't think of it first,     Hiya_Mariah,0,FALSE,       NA,      NA
37,                                                                                                             I drank all that coffee for nothing.,      gingi_snap,0,FALSE,       NA,      NA
38,                                                    ?@kayleesmith95: i want coffee if i had a car that is all my car would be used for? SAME HERE,    micheeliinna,0,FALSE,       NA,      NA
39,     RT @marisaaaa23: ?@sheodd: Iced coffee in the mornings is soo amazing like it's my everyday breakfast pretty bad habit I'm building? that w?,          sheodd,1,FALSE,       NA,      NA
40,                                                                                     RT @skylarking24: Coffee ice cream is the best thing ever ok,  HannahBrumback,2,FALSE,       NA,      NA
41,                                                                                                  I burned my tongue drinking coffee this morning,     A_luxurycar,0,FALSE,       NA,      NA
42,                                                                                                            RT @littledaisy420: iced coffee ilysm, oglivelavalakin,2,FALSE,       NA,      NA
43,"     Its strong connection to life. bittersweet RT @ikanatassa: coffee enthusiasts di timeline gue, boleh nanyakah? ini buat riset. why do you li",         niyaayu,0,FALSE,       NA,      NA
44,"                                                                                                      I don't drink coffee, i drink tea my dear..", TheOnlyBenedict,0,FALSE,       NA,      NA
45,                                                                                                    I'm at Coffee Dominion http://t.co/0nseOXJ0K3,         Mattic6,0,FALSE,       NA,      NA
46,                                                                        @iowashoeguy I think Jaye could help you with the coffee #Hawkeyefootball,        cubfan64,0,FALSE,       NA,      NA
47,"                                                                RT @TLW3: Coffee cup in hand, gun in holster http://t.co/rmoBUQrcnZ #gunfail @nra", Kristen_Wright5,1,FALSE,       NA,      NA
48,"     RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?",       krysmeoww,1600,FALSE,       NA,      NA
49,                                                                         @krizzle_3 yesssss omg. Caramel almond iced coffee milk &amp,' one sugar,    jennaa_leaaa,0,FALSE,       NA
50,                                                                                                                 Might make some coffee right now,  christianpalos,0,FALSE,       NA,      NA
51,"           @katie_silliman @IntimacyFacts LMAO!!! What about avocados, spinach, coffee and tea? Those are also on my daily consumption list!! :-)", JoeCoolSilliman,0,FALSE,       NA,      NA
52,"     RT @SarahWCaron: Apparently tomorrow is Starbucks Appreciation Day for gun enthusiasts where they go, sip coffee and bring guns. I know whe?",     Bboggia2465,14,FALSE,       NA,      NA
53,                                                                                            Coffee with foam: http://t.co/34iGwYMKhb via @YouTube,           KDL85,0,FALSE,       NA,      NA
54,       @nitecoder @mattallen should have got an extra coffee to spill on it so no one else could read it. Waste of good coffee tho? maybe a chai?,        warren_s,0,FALSE,       NA,      NA
55,"     RT @IamBeyer: I'm ready for pumping spice beer/coffee, apple orchards, American horror story sea3, walking dead season sea4, college footba?", chris_gonzales_,2,FALSE,       NA,      NA
56,                                                                                                             i live for coffee flavored ice cream,      isaaclxhey,0,FALSE,       NA,      NA
57,"               @sarakalke I hope that we all can keep this movement going..whether it be w/blizzards, coffee, groceries whatever... #PayItForward",    rnrmusicgurl,0,FALSE,       NA,      NA
58,        @JasonT @natasha_lh I'm much closer to your brother's pronunciation. I pronounce the O the same way I do in the word coffee You might too, DreamtimeDrinne,0,FALSE,       NA,      NA
59,                                                                                                                         I don't even like coffee,      Molli_Lynn,0,FALSE,       NA,      NA
60,                                                                                                     ?@tommymaloy: coffee coolata's are the shit?, _ashley_marie_x,0,FALSE,       NA,      NA
61,                                                                                                              I JUST SPILLED COFFEE DOWN MY SHIRT,  pavingnewpaths,0,FALSE,       NA,      NA
62,                                                                                                         I think I need another coffee #StarBucks, platinumclubvan,0,FALSE,       NA,      NA
63,                                                                                            I dont wanna know how much iced coffee I drink a week,      heyderjess,0,FALSE,       NA,      NA
64,           @thebobbieoliver every morning i stand eastward &amp, chant that 3 times 'never read any self-help books' then coffee #bourbon chaser.,         6XBytes,0,FALSE,       NA
65,         @JaleneVegter: All I want right now is for someone to eat chocolate chips &amp, drink coffee &amp, go star gazing with me. #simpleasthat,   Keyz_Player96,0,FALSE
66,                              @PIRFCT1 hahahah I don't get much coffee from there but yes they ask so many questions but still screw it up hahaha, Baseball4Lifee6,0,FALSE,       NA,      NA
67,                                                                         #AlwayzRemember Neva let a nigga smack your tray and spill your coffee!!,       Alia_Dara,0,FALSE,       NA,      NA
68,        RT @farleftcoast: Her: I met a guy online. We?re meeting for coffee. Me: Does he have a nice dick? Her: I DON?T KNOW YET! Me: I don?t un?,       thisizAsh,37,FALSE,       NA,      NA
69,                                                 Fun fact: roast your own coffee bean at home using a popcorn machine! @YelpAdelaide #coffeecrawl,          gggnef,0,FALSE,       NA,      NA
70,                                                                                                                      @Jer_KIngD *gives u coffee*,      eBahadurGT,0,FALSE,       NA,      NA
71,                                       do you think the old dude next to me would be willing to pour some of his coffee into mine coz it got cold,        napquest,0,FALSE,       NA,      NA
72,                                              @Tifferz1991 good cause I already gave up sweet tea for green tea and coffee for hot tea and honey.,     Greta_Paige,0,FALSE,       NA,      NA
73,"                                                                                                                   A cup of coffee sin azucar, ag",         Roox_21,0,FALSE,       NA,      NA
74,                                                                                                      Just for you #abdul &amp, The Coffee Theory,       fii_lutfi,0,FALSE,       NA
75,"                                   RT @pisssyprincess: Like I'm sorry food, but you've been replaced with better things, like coffee and alcohol.",    Its_Ray_Ray1,1,FALSE,       NA,      NA
76,"       @klove_01 Haha it sucks until you get used to it, then it ain't bad. Down a cup or two of coffee and then it's off to work for 12-14 hours",  AnduhrewBush05,0,FALSE,       NA,      NA
77,                                                                                               @billshortenmp I think they have good coffee there,       jcgrimes3,0,FALSE,       NA,      NA
78,                                                                                                               @rosiescala no more coffee for you,   MandyTorresss,0,FALSE,       NA,      NA
79,"     If I were to go #Starbucks right now, I'd get a Venti Iced Vanilla coffee, w/ 2 pumps of white mocha, breve, and Extra Extra caramel drizzle",     meganmansor,0,FALSE,       NA,      NA
80,                     @DanielleATucker do u have any suggestions on what to put in coffee instead of cream? :-) like maybe almond milk? And honey?,   SweetiePieSyd,0,FALSE,       NA,      NA
81,     RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?,       YhosdalyL,6,FALSE,       NA,      NA
82,                           @trishrothgeb @colecoffee @Timothybhill @LorenzoPerkins I'm creating my own Mighty Fine scale for coffee: goes to 110.,         HIflyer,0,FALSE,       NA,      NA
83,                                                 you me at six on the cover of Kerrang and iced coffee. I am very content. http://t.co/IuH05pTRuI,     shevmigoats,0,FALSE,       NA,      NA
84,         Jared got gum on his coffee lid and Jensen was clearly 1000% done. But like a good big brother he gave him his ow http://t.co/QQH012ZYVw,       WeLoveSPN,1,FALSE,       NA,      NA
85,"                                                 Have to be up early tomorrow, and yet I just finished a large coffee. Avoid me at all costs tmrw",     Shamrock_NY,0,FALSE,       NA,      NA
86,                                                         Someone come to the ridges hotel and chill ! There is a coffee shop here aswell ! Please,      SketcheeeN,0,FALSE,       NA,      NA
87,        @LaurenKMcKellar HAHA never! Takes much more for death plots. Denying me coffee? Yes. Edits that will make my book great? *bakes cookies*,         elledoo,0,FALSE,       NA,      NA
88,"                                   RT @lesbolife: wake up naked drinking coffee, making plans to change the world while the world was changing us",     radicalann_,22,FALSE,       NA,      NA
89,                                                I probably shouldn't be drinking coffee this late but oh well. Ill just chug a bottle of zzzquil.,        xoxohail,0,FALSE,       NA,      NA
90,"                There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in rats.",         vir1502,0,FALSE,       NA,      NA
91,                    We went to town and ate a half decent baked cheese cake. I think we might have a new place for coffee? http://t.co/UfZCfcpSB3, WholeLarderLove,0,FALSE,       NA,      NA
92,                                                                                                                                           Coffee,    katzseremane,0,FALSE,       NA,      NA
93,                                                                            Double apple shisha &amp, coffee.. What else you need for this night?,      Ali_Assi28,0,FALSE,       NA
94,                                                                                                                                   I made coffee.,   CameronAtrium,0,FALSE,       NA,      NA
95,"                                                    it's Pepsi for me... @bombaytweeting: I love you less than coffee, which is more than enough.",   musicaddict75,0,FALSE,       NA,      NA
96,                                                                                                 @chandradawn1 COFFEE!!! COFFEE COFFEE!!! COFFEE!, JonsCrazyTweets,0,FALSE,       NA,      NA
97,                                                                                                   Coffee and my bible good combo morning twitter,   DamionWalter1,0,FALSE,       NA,      NA
98,"                                                           I need money so I can buy candles, coffee, gas, black n milds, and tattoos. #Seriously",    mir_anderson,0,FALSE,       NA,      NA
99,"                                                               Lovely visual taxonomy of early coffee-making devices, 1922 http://t.co/fZrUuw2y6J",     brainpicker,0,FALSE,       NA,      NA
100,"     RT @sweetestMY: It's way too hot to be outside shooting for all day I'm doing it anyway..thank you.. my best friend, iced coffee couldn't d?",   EvitaSong_287,310,FALSE,       NA,      NA
101,                                                       RT @BullardBella: ?@locklear_noah: I could drink some coffee but I don't wanna go make it?,   xoxo_caitlynn,2,FALSE,       NA,      NA
102,                                                                         Oh homemade creamy coffee. I could sip your creamy delight all day long.,        rifianti,0,FALSE,       NA,      NA
103,                                                               RT @Mayflower04: She only drinks coffee at midnight. When the moment is not right., samanthaboydddd,2,FALSE,       NA,      NA
104,                                                           bout to get some coffee cause my damn eyes closing and an no where near done studying.,     trey_mason1,0,FALSE,       NA,      NA
105,     RT @mindelixir: RT @fastnasty: I'm drinking 2 pots of coffee and staying up all night to finish this @mindelixir remix so I can play it out?,          DJSVED,1,FALSE,       NA,      NA
106,"                 @NealChug no I didn't get one yet. You know that I don't SB that much hehe. I palpitate with too much coffee. Huhu. Wow, you na!",       ChrisChug,0,FALSE,       NA,      NA
107,"                                               Can I just move into Bucees!? tons of snacks, Endless Coffee, country music all the time! #Perfect",     jenngarza23,0,FALSE,       NA,      NA
108,"                                                                                                                         Mornin'. Coffee, anyone?",   msirishgarcia,0,FALSE,       NA,      NA
109,                                                                              Michael Jackson and Slash walk into a coffee bean... #hollywoodblvd,     HollyRockIt,0,FALSE,       NA,      NA
110,"       Hazelnut White Coffee from Old Town Coffee RT @ikanatassa: second question: what is the best coffee you've ever had in your life, and why?",       shibizain,0,FALSE,       NA,      NA
111,"                                                                                                         and yes, coffee was my dinner tonight...",    tristynbaker,0,FALSE,       NA,      NA
112,                                                                                                    You don't like coffee? http://t.co/mlHo44kgZk,   littlehayniac,0,FALSE,       NA,      NA
113,"     RT @g4ybacon: I just want it to be winter already bc I hate slutty summer clothes. I miss my scarves and jackets, and coffee and cigarets o?",     february4ir,2,FALSE,       NA,      NA
114,                         RT @smartalecks_: Some people start off their morning with breakfast or just coffee. I start off with a morning text :'),      LiyanaAsri,5,FALSE,       NA,      NA
115,"                                                                                ordered a coffee and when i said my name they responded, Jamaira?",       jayyHaira,0,FALSE,       NA,      NA
116,                                                                                                                    coffee coolata's are the shit,      tommymaloy,0,FALSE,       NA,      NA
117,                      RT @serverproblems2: when co-workers use up all the coffee and don't brew more!&lt,&lt,&lt,&lt,&lt,&lt
118,"  As someone who dislikes coffee, I have no idea why I thought it would be a good idea to buy Ben &amp; Jerry's new coffee flavor. Oh right, fat.",  UnpluggedCrazy,0,FALSE,       NA,      NA
119,                                                                              I need to try and start drinking just black coffee. Wayy healthier.,    laurenndewey,0,FALSE,       NA,      NA
120,      RT @JohnBirmingham: ?@DamianSharry: Brisbane cafe putting its foot down over the Courier Mail http://t.co/Ki90fbV2v9?? Think I found my ne?,        Danjanon,99,FALSE,       NA,      NA
121,                                                                                                    Kay. So coffee date with @_sammiieeee soon!!!,   jaimesuarez22,0,FALSE,       NA,      NA
122,"                 Abc mocca,., its so moccalicious RT @ikanatassa: second question: what is the best coffee you've ever had in your life, and why?",    zarrazettina,0,FALSE,       NA,      NA
123,                                                                  Really regretting those 3 cups of coffee today #wired #cantsleep #earlymornings,     meganhagg24,0,FALSE,       NA,      NA
124,                                                                       RT @YeowoolDam: This morning HOT Coffee Happy Happy http://t.co/WxfKiU4l46,       Ad_Adit11,1,FALSE,       NA,      NA
125,        @Goodbye_My_Lady oh yeah of course the sister plays a big role. Don't get too comfortable with this sweet blooming coffee romance however,       kimsIeepy,0,FALSE,       NA,      NA
126,                                                            #lunch Chicken and pumpkin risotto with iced coffee @ Hoz Cafe http://t.co/LH8TtIzEyY,        garydlum,0,FALSE,       NA,      NA
127,                                                                                       BAD HABIT ALERT! http://t.co/DIzpwj9G4Z via @KateWhineHall,    LRConsiderer,0,FALSE,       NA,      NA
128,     RT @sophistiCAITed_: I didn't need anything more than to sit on Dan's floor drinking an iced coffee and shooting the shit tonight @GriggyGr?,    GriggyGringo,1,FALSE,       NA,      NA
129,                                                    *Comes home with a large coffee* that's what you call miscommunication http://t.co/s4OXHzUGLA,        rumshahh,0,FALSE,       NA,      NA
130,                                                                                                    Coffee #34 http://t.co/3Q02v4r9TP via @weebly,    AubreyBates1,0,FALSE,       NA,      NA
131,                                                                                                                      Think I want an iced coffee,       NerraFBby,0,FALSE,       NA,      NA
132,                           Megan.. Do you want an iced coffee? *yep !* do you want a beer? *YEP!* #musthaveallthebeverages http://t.co/frd41TriqJ,      DoulaMegan,0,FALSE,       NA,      NA
133,                                                                                            Coffee realness. Or latte art. http://t.co/c34IDhGjUs,      kekekelela,0,FALSE,       NA,      NA
134,                                                                              MilkShake?) ) @notesSAHABAT: #NoterSpecialEid Coffee Or MilkShake ?,      anahafida_,0,FALSE,       NA,      NA
135,        Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie Recipe. http://t.co/N8O7vqFKWN http://t.co/QAVqleO5Ke,  AdelaideReview,1,FALSE,       NA,      NA
136,                                                                       Black coffee will keep me up all night lololol I'm gonna be super hyper bi, Jessicaschoefer,0,FALSE,       NA,      NA
137,"                                                                      Damn, I'm out of regular coffee... Now I have to settle for decaf, Oh well!",   Phranchizpoet,0,FALSE,       NA,      NA
138,                    Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkKGlyqht,  JonasWorldFeed,6,FALSE,       NA,      NA
139,                                         @JessHampson Then do you want coffee in the morning? Donuts? Carrots to catch the wiggling nose monster?,         GettaGo,0,FALSE,       NA,      NA
140,"                              I'm craving for some warm chocolate cake with a nice, strong cup of coffee. #rainydaycomfort http://t.co/WXZmll0PNP",            weye,0,FALSE,       NA,      NA
141,                                                                                     MAXWELL'S HOUSE! #ROYALS Free coffee promotion? @610SportsKC,      bsquaredb2,0,FALSE,       NA,      NA
142,            ?@meggp_12: ?@CleatingChase: My favorite part about fall: Hoodies Leggings Sweatpants Cold nights Football games Uggs Pumpkin coffee?,       E_Kindell,0,FALSE,       NA,      NA
143,                      Spilled a 16 oz coffee on a Toshiba laptop. It survived but turned into an Apple laptop. It has no right click. #IT #coffee,     AIS_Network,0,FALSE,       NA,      NA
144,                                                                                                                But I just drank 2 cups of coffee,         _JoyaxO,0,FALSE,       NA,      NA
145,                                                                                              Starbucks chocolate coffee ~ http://t.co/fCO8OijVtN,        Yuii_Tan,0,FALSE,       NA,      NA
146,                                                                                              RT @savannah_palle: Coffee ice cream is my favorite,       Mixd_kuri,1,FALSE,       NA,      NA
147,"     RT @EXOFANBASE_: #imagine you make a coffee in the morning,suddenly chanyeol came and hug u in behind, put his chin in ur shoulder and said?",    exochosarang,15,FALSE,       NA,      NA
148,                                                                               Dat Girl Thought Shit Was Sweet Wen Dat Coffee Went On Kala Jacket,       AyeeShaee,0,FALSE,       NA,      NA
149,                                                                                                           Craving for starbucks-like coffee - .-,  mightyduckface,0,FALSE,       NA,      NA
150,                                                                                           I haven't eaten all day.. : ( Coffee was all I had....,         ASAP_29,0,FALSE,       NA,      NA
151,                                                                                              I'm about to make me some coffee mmmmmm I love it!!,     21thingsido,0,FALSE,       NA,      NA
152,                                                                            @HeteroWhiteMan Come round for coffee anytime. http://t.co/QUtlHphPem, drink_smoke_die,0,FALSE,       NA,      NA
153,                   Lmfaooooo by far....that guy drinks Irish coffee RT @2treyJay: @delasmoove Walsh drinks more than Stone Cold Steve Austin bro?,      delasmoove,0,FALSE,       NA,      NA
154,"                                                     coffee, weed &amp; cigarettes are the three things that keep me from being a complete bitch.", hayleydeniseeee,0,FALSE,       NA,      NA
155,                                                                The weirdest thing happened to me this summer...I discovered I like coffee black.,      jordeeeliz,0,FALSE,       NA,      NA
156,                                                                     Drinking an Epicurean Coffee &amp, Fig by @epicbeer ? http://t.co/YpwDNilw6k,        smrtgirl,0,FALSE,       NA
157,                                                               RT @AuroraTynan: Coffee date with the girls :) @SamanthaMaione and @cassieverslype,  SamanthaMaione,2,FALSE,       NA,      NA
158,                                                                    @lorisica @BrandIdeas stay up later and drink more coffee tomorrow #mediachat,      tburgess57,0,FALSE,       NA,      NA
159,                                               @craigharoldball Tough shit if you only want a coffee without the politics bulshit @margokingston1,          Zebbyz,0,FALSE,       NA,      NA
160,             RT @FinchelGleeLove: when Lea gave Cory a lava lamp and Cory gave Lea a coffee maker GIVE ME THESE RIOTS BACK I NEED THEM TO SURVIVE, sincerely_kathy,10,FALSE,       NA,      NA
161,          gonna go get a large coffee with a shot of espresso so i don't fall asleep on the plan ride to calgary. WAHOO NOT SLEEPING TONIGHT WHAT,         logaaan,0,FALSE,       NA,      NA
162,                                                              I'm driving for the very first time because nobody else will take me to get coffee.,  emilylanglois_,0,FALSE,       NA,      NA
163,"     RT @g4ybacon: I just want it to be winter already bc I hate slutty summer clothes. I miss my scarves and jackets, and coffee and cigarets o?",       fl00rplan,2,FALSE,       NA,      NA
164,                                                                                               THE COFFEE THE COFFEE SHIT I GOT THE VOMIT FEELING,       kahmingxx,0,FALSE,       NA,      NA
165, RT @madisonpettis: I don't get why u have to pay for wifi on a plane when you can walk into any Starbucks &amp, get wifi for free. Plane tix co?,     dark_davidd,358,FALSE,       NA
166,                                                                          RT @realjamescase: Drinking too much coffee can cause a latte problems.,        Audelynn,10,FALSE,       NA,      NA
167,                                                                                                     Just drank so much coffee and I'm more tired,  LindseyThomps_,0,FALSE,       NA,      NA
168,                      I remember spending a whole day Barnes and Noble Southlake...reading in a corner spot...with coffee. Favorite kind of bliss,    taylorawbrey,0,FALSE,       NA,      NA
169,                                                                                                                  Victoria likes drinking coffee.,     qiansong_fx,0,FALSE,       NA,      NA
170,                                       3-in-1 coffee with 1 after eight chocolate tastes like peppermint mocha!! Haha great experiment for today.,     jhei_lutana,0,FALSE,       NA,      NA
171,                                                                  you would expect hampton inn?s free coffee to be shit but it?s actually so good,   not_a_fantasy,0,FALSE,       NA,      NA
172,                                                made coffee. about to start writing. today is a good day. oh and I'm 80 percent to full recovery!,    ayoItsKidRam,0,FALSE,       NA,      NA
173,"                                                  RT @ikanatassa: second question: what is the best coffee you've ever had in your life, and why?",         vhianov,2,FALSE,       NA,      NA
174,"                       @MaddTheMeow @edwinaED it wasn't chocolate !! It looks like chocolate, but it doesn't taste choc. It wasn't even coffee!!!",       liyenliaw,0,FALSE,       NA,      NA
175,                                                                         Eight O'Clock Coffee Spot The Red Bag Sweepstakes http://t.co/EuIjS6mgIo,     fstcontests,0,FALSE,       NA,      NA
176,                                                                                                                      Coffee + Reading = Happy me,    Jonquille318,0,FALSE,       NA,      NA
177,                                                                 Watch Turkish Coffee Making Guide on YouTube http://t.co/nz8bsusrzt @rusminbahar,      klinikkopi,0,FALSE,       NA,      NA
178,                                                                                                                                   Awake *COFFEE*,       AlShmri_8,0,FALSE,       NA,      NA
179,                   Unusual cravings for today! Pan de Manila coffee and pandesal with peanut butter! #snacks #food #coffee http://t.co/DSAVNs9DIe,       aL_Rabara,0,FALSE,       NA,      NA
180,                                                                      Coffee cake? Y/N? ? Yes please! Are you offering? ,) http://t.co/INiM3FJByy,     Inflatophin,0,FALSE,       NA
181,                       I didn't need anything more than to sit on Dan's floor drinking an iced coffee and shooting the shit tonight @GriggyGringo, sophistiCAITed_,1,FALSE,       NA,      NA
182,"                                                       RT @Sam_Ryan97: Coffee and tea, and the java and me...a cup a cup a cup a cup a cup, boy!!",      HyrumGraph,1,FALSE,       NA,      NA
183,                                                                                                                           Coffee or music? Both.,  ClarkCovington,0,FALSE,       NA,      NA
184,                                                                                                          @ViknaRoshan ahh...buy me coffee thx !!,       chiying94,0,FALSE,       NA,      NA
185,"                                                                        { I sit in Starbucks, staring intently out the window. Not excatly sure--",   TotallyAusten,0,FALSE,       NA,      NA
186,"                                                RT @danielcudmore: Dear coffee shops, Organic coffee doesn't make it good coffee..? #isthis dirt?",    Autolycus_88,2,FALSE,       NA,      NA
187,"                                                                        @kungfupussy nice, where can you buy it from? redbubble? @Gridlock_Coffee",   brandnewblues,0,FALSE,       NA,      NA
188,"                                                    RT @Luke5SOS: just put chocolate milk in the top of my coffee, I think I just changed history", AustralianBoys_,11349,FALSE,       NA,      NA
189,                                                                               @abbycastro98 it's like a fruit smoothie/snow cone/coffee place (:, TristonTooSuave,0,FALSE,       NA,      NA
190,                   I didnt have #Maxwell coffee this morning with my #countrybreakfast sandwich so I have no idea why Maxwell homered lol #royals, Zach_The_Five_O,0,FALSE,       NA,      NA
191,"                                   Twitter - causing my coffee to go cold cup after cup since... Ah hell, the day I fell in love with you guys!!!",  Shelleygirl311,0,FALSE,       NA,      NA
192,              @moronninja well I don't have coffee in cartons but I do have it in tiny cans so it's pretty much the same thing. Which is awesome.,    ItsJustRocko,0,FALSE,       NA,      NA
193,                                                                       RT @rachellarrivee: coffee oreo is the most underrated flavor of ice cream, charlotteleyden,1,FALSE,       NA,      NA
194,                                                                                                                                wow I want coffee,      harryakano,0,FALSE,       NA,      NA
195,                                                                                                   @wcwp33 @jwhitacre2 yeah!! like coffee creamer,   kimberlybyrum,0,FALSE,       NA,      NA
196,                                                       I always drink coffee at night.. And i always regret it when i cant sleep. Ill never learn, marissa_maguire,0,FALSE,       NA,      NA
197,                                                Meeting your best friend for coffee and not accomplishing much... LOL. #goodfriendship #sosimilar,     KatieNester,0,FALSE,       NA,      NA
198,                                                                             @Woaholiviacoy it doesnt keep you awake like coffee though does it?!,   Grant_watsonn,0,FALSE,       NA,      NA
199,                                                                                                                                    Get me coffee,  amanduh_aviles,0,FALSE,       NA,      NA
200,                                                                                         I had a coffee called rocket surgery and it was amazing.,    AlanaBWaters,0,FALSE,       NA,      NA
201,                                                                                 Am I the only one who burns my tongue every time I drink coffee?,  MariamSultan26,0,FALSE,       NA,      NA
202,                                 Let's get coffee. ? I'm not much of a coffee person.. But make it ice cream and I'm done. http://t.co/j12t9G7vq9,        yooowesa,0,FALSE,       NA,      NA
203,                                               RT @Dance10Paul: @Paris_Zondag im not a coffee drinker! So definitely hot chocolate hands down! :D,    sarahwiers22,1,FALSE,       NA,      NA
